case_id,requested_time_min_s,side,representation,common_scale_m,response,predictor,boundary_exclusion_m,raw_source_class_subset,matched_resolution_subset,spearman_rho,block_bootstrap_ci_low,block_bootstrap_ci_high,sample_count,same_sign_case_count
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,mean_slope_0_500m,250,all,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,mean_slope_0_1000m,250,all,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,integrated_channel_anomaly_0_1000m,250,all,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,isobath_convergence_20m,250,all,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,isobath_convergence_50m,250,all,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,shoreline_curvature_500m,250,all,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,distance_to_source_boundary,250,all,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,raw_source_native_resolution,250,all,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,velocity_isobath_alignment,250,all,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,distance_to_20m_isobath,250,all,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,distance_to_50m_isobath,250,all,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,mean_slope_0_500m,250,all,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,mean_slope_0_1000m,250,all,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,integrated_channel_anomaly_0_1000m,250,all,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,isobath_convergence_20m,250,all,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,isobath_convergence_50m,250,all,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,shoreline_curvature_500m,250,all,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,distance_to_source_boundary,250,all,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,raw_source_native_resolution,250,all,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,velocity_isobath_alignment,250,all,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,distance_to_20m_isobath,250,copernicus_a2_land_core,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,distance_to_50m_isobath,250,copernicus_a2_land_core,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,mean_slope_0_500m,250,copernicus_a2_land_core,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,mean_slope_0_1000m,250,copernicus_a2_land_core,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,integrated_channel_anomaly_0_1000m,250,copernicus_a2_land_core,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,isobath_convergence_20m,250,copernicus_a2_land_core,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,isobath_convergence_50m,250,copernicus_a2_land_core,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,shoreline_curvature_500m,250,copernicus_a2_land_core,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,distance_to_source_boundary,250,copernicus_a2_land_core,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,raw_source_native_resolution,250,copernicus_a2_land_core,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,velocity_isobath_alignment,250,copernicus_a2_land_core,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,distance_to_20m_isobath,250,copernicus_a2_land_core,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,distance_to_50m_isobath,250,copernicus_a2_land_core,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,mean_slope_0_500m,250,copernicus_a2_land_core,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,mean_slope_0_1000m,250,copernicus_a2_land_core,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,integrated_channel_anomaly_0_1000m,250,copernicus_a2_land_core,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,isobath_convergence_20m,250,copernicus_a2_land_core,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,isobath_convergence_50m,250,copernicus_a2_land_core,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,shoreline_curvature_500m,250,copernicus_a2_land_core,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,distance_to_source_boundary,250,copernicus_a2_land_core,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,raw_source_native_resolution,250,copernicus_a2_land_core,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,velocity_isobath_alignment,250,copernicus_a2_land_core,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,distance_to_20m_isobath,250,copernicus_a2_land_core,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,distance_to_50m_isobath,250,copernicus_a2_land_core,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,mean_slope_0_500m,250,copernicus_a2_land_core,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,mean_slope_0_1000m,250,copernicus_a2_land_core,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,integrated_channel_anomaly_0_1000m,250,copernicus_a2_land_core,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,isobath_convergence_20m,250,copernicus_a2_land_core,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,isobath_convergence_50m,250,copernicus_a2_land_core,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,shoreline_curvature_500m,250,copernicus_a2_land_core,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,distance_to_source_boundary,250,copernicus_a2_land_core,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,raw_source_native_resolution,250,copernicus_a2_land_core,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,velocity_isobath_alignment,250,copernicus_a2_land_core,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,distance_to_20m_isobath,250,copernicus_a2_land_core,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,distance_to_50m_isobath,250,copernicus_a2_land_core,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,mean_slope_0_500m,250,copernicus_a2_land_core,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,mean_slope_0_1000m,250,copernicus_a2_land_core,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,integrated_channel_anomaly_0_1000m,250,copernicus_a2_land_core,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,isobath_convergence_20m,250,copernicus_a2_land_core,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,isobath_convergence_50m,250,copernicus_a2_land_core,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,shoreline_curvature_500m,250,copernicus_a2_land_core,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,distance_to_source_boundary,250,copernicus_a2_land_core,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,raw_source_native_resolution,250,copernicus_a2_land_core,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,velocity_isobath_alignment,250,copernicus_a2_land_core,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,distance_to_20m_isobath,250,gmrt_shore_blend,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,distance_to_50m_isobath,250,gmrt_shore_blend,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,mean_slope_0_500m,250,gmrt_shore_blend,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,mean_slope_0_1000m,250,gmrt_shore_blend,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,integrated_channel_anomaly_0_1000m,250,gmrt_shore_blend,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,isobath_convergence_20m,250,gmrt_shore_blend,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,isobath_convergence_50m,250,gmrt_shore_blend,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,shoreline_curvature_500m,250,gmrt_shore_blend,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,distance_to_source_boundary,250,gmrt_shore_blend,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,raw_source_native_resolution,250,gmrt_shore_blend,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,velocity_isobath_alignment,250,gmrt_shore_blend,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,distance_to_20m_isobath,250,gmrt_shore_blend,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,distance_to_50m_isobath,250,gmrt_shore_blend,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,mean_slope_0_500m,250,gmrt_shore_blend,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,mean_slope_0_1000m,250,gmrt_shore_blend,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,integrated_channel_anomaly_0_1000m,250,gmrt_shore_blend,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,isobath_convergence_20m,250,gmrt_shore_blend,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,isobath_convergence_50m,250,gmrt_shore_blend,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,shoreline_curvature_500m,250,gmrt_shore_blend,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,distance_to_source_boundary,250,gmrt_shore_blend,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,raw_source_native_resolution,250,gmrt_shore_blend,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,velocity_isobath_alignment,250,gmrt_shore_blend,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,distance_to_20m_isobath,250,gmrt_shore_blend,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,distance_to_50m_isobath,250,gmrt_shore_blend,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,mean_slope_0_500m,250,gmrt_shore_blend,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,mean_slope_0_1000m,250,gmrt_shore_blend,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,integrated_channel_anomaly_0_1000m,250,gmrt_shore_blend,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,isobath_convergence_20m,250,gmrt_shore_blend,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,isobath_convergence_50m,250,gmrt_shore_blend,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,shoreline_curvature_500m,250,gmrt_shore_blend,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,distance_to_source_boundary,250,gmrt_shore_blend,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,raw_source_native_resolution,250,gmrt_shore_blend,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,velocity_isobath_alignment,250,gmrt_shore_blend,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,distance_to_20m_isobath,250,gmrt_shore_blend,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,distance_to_50m_isobath,250,gmrt_shore_blend,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,mean_slope_0_500m,250,gmrt_shore_blend,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,mean_slope_0_1000m,250,gmrt_shore_blend,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,integrated_channel_anomaly_0_1000m,250,gmrt_shore_blend,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,isobath_convergence_20m,250,gmrt_shore_blend,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,isobath_convergence_50m,250,gmrt_shore_blend,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,shoreline_curvature_500m,250,gmrt_shore_blend,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,distance_to_source_boundary,250,gmrt_shore_blend,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,raw_source_native_resolution,250,gmrt_shore_blend,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,velocity_isobath_alignment,250,gmrt_shore_blend,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,distance_to_20m_isobath,500,all,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,distance_to_50m_isobath,500,all,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,mean_slope_0_500m,500,all,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,mean_slope_0_1000m,500,all,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,integrated_channel_anomaly_0_1000m,500,all,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,isobath_convergence_20m,500,all,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,isobath_convergence_50m,500,all,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,shoreline_curvature_500m,500,all,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,distance_to_source_boundary,500,all,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,raw_source_native_resolution,500,all,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,velocity_isobath_alignment,500,all,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,distance_to_20m_isobath,500,all,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,distance_to_50m_isobath,500,all,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,mean_slope_0_500m,500,all,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,mean_slope_0_1000m,500,all,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,integrated_channel_anomaly_0_1000m,500,all,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,isobath_convergence_20m,500,all,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,isobath_convergence_50m,500,all,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,shoreline_curvature_500m,500,all,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,distance_to_source_boundary,500,all,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,raw_source_native_resolution,500,all,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,velocity_isobath_alignment,500,all,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,distance_to_20m_isobath,500,all,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,distance_to_50m_isobath,500,all,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,mean_slope_0_500m,500,all,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,mean_slope_0_1000m,500,all,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,integrated_channel_anomaly_0_1000m,500,all,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,isobath_convergence_20m,500,all,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,isobath_convergence_50m,500,all,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,shoreline_curvature_500m,500,all,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,distance_to_source_boundary,500,all,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,raw_source_native_resolution,500,all,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,velocity_isobath_alignment,500,all,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,distance_to_20m_isobath,500,all,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,distance_to_50m_isobath,500,all,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,mean_slope_0_500m,500,all,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,mean_slope_0_1000m,500,all,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,integrated_channel_anomaly_0_1000m,500,all,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,isobath_convergence_20m,500,all,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,isobath_convergence_50m,500,all,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,shoreline_curvature_500m,500,all,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,distance_to_source_boundary,500,all,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,raw_source_native_resolution,500,all,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,velocity_isobath_alignment,500,all,raw_30m_only,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,distance_to_20m_isobath,500,copernicus_a2_land_core,all,nan,nan,nan,0,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,distance_to_50m_isobath,500,copernicus_a2_land_core,all,nan,nan,nan,0,0
